"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
15 Dec 2017 14:56:42.200,-232184.418543,-314381.535181,-97722.516492,0.782252,-0.534688,-0.243284
15 Dec 2017 15:26:42.000,-230774.197043,-315340.765729,-98159.422280,0.784832,-0.531240,-0.242220
15 Dec 2017 15:56:42.000,-229359.190802,-316293.887439,-98594.457797,0.787395,-0.527782,-0.241152
15 Dec 2017 16:26:42.000,-227939.586279,-317240.776634,-99027.566429,0.789941,-0.524315,-0.240079
15 Dec 2017 16:56:42.000,-226515.413542,-318181.416696,-99458.740260,0.792470,-0.520839,-0.239002
15 Dec 2017 17:26:42.000,-225086.702724,-319115.791128,-99887.971411,0.794983,-0.517353,-0.237921
15 Dec 2017 17:56:42.000,-223653.484015,-320043.883554,-100315.252044,0.797479,-0.513859,-0.236835
15 Dec 2017 18:26:42.000,-222215.787669,-320965.677721,-100740.574359,0.799958,-0.510355,-0.235745
15 Dec 2017 18:56:42.000,-220773.643999,-321881.157496,-101163.930596,0.802421,-0.506843,-0.234650
15 Dec 2017 19:26:42.000,-219327.083380,-322790.306868,-101585.313035,0.804866,-0.503322,-0.233552
15 Dec 2017 19:56:42.000,-217876.136244,-323693.109948,-102004.713993,0.807295,-0.499791,-0.232449
15 Dec 2017 20:26:42.000,-216420.833082,-324589.550971,-102422.125830,0.809706,-0.496253,-0.231342
15 Dec 2017 20:56:42.000,-214961.204445,-325479.614291,-102837.540943,0.812101,-0.492705,-0.230230
15 Dec 2017 21:26:42.000,-213497.280941,-326363.284386,-103250.951769,0.814478,-0.489149,-0.229115
15 Dec 2017 21:56:42.000,-212029.093236,-327240.545855,-103662.350787,0.816839,-0.485584,-0.227995
15 Dec 2017 22:26:42.000,-210556.672053,-328111.383420,-104071.730512,0.819182,-0.482011,-0.226871
15 Dec 2017 22:56:42.000,-209080.048172,-328975.781926,-104479.083501,0.821508,-0.478430,-0.225743
15 Dec 2017 23:26:42.000,-207599.252427,-329833.726340,-104884.402352,0.823817,-0.474840,-0.224611
15 Dec 2017 23:56:42.000,-206114.315712,-330685.201753,-105287.679702,0.826109,-0.471242,-0.223475
16 Dec 2017 00:26:42.000,-204625.268969,-331530.193376,-105688.908226,0.828384,-0.467636,-0.222334
16 Dec 2017 00:56:42.000,-203132.143205,-332368.686544,-106088.080643,0.830642,-0.464022,-0.221190
16 Dec 2017 01:26:42.000,-201634.969473,-333200.666716,-106485.189709,0.832882,-0.460399,-0.220042
16 Dec 2017 01:56:42.000,-200133.778882,-334026.119473,-106880.228222,0.835105,-0.456769,-0.218889
16 Dec 2017 02:26:42.000,-198628.602595,-334845.030519,-107273.189020,0.837310,-0.453131,-0.217733
16 Dec 2017 02:56:42.000,-197119.471828,-335657.385683,-107664.064980,0.839499,-0.449485,-0.216573
16 Dec 2017 03:26:42.000,-195606.417848,-336463.170915,-108052.849022,0.841670,-0.445831,-0.215409
16 Dec 2017 03:56:42.000,-194089.471975,-337262.372289,-108439.534104,0.843823,-0.442169,-0.214241
16 Dec 2017 04:26:42.000,-192568.665581,-338054.976004,-108824.113226,0.845959,-0.438500,-0.213069
16 Dec 2017 04:56:42.000,-191044.030088,-338840.968381,-109206.579429,0.848078,-0.434823,-0.211893
16 Dec 2017 05:26:42.000,-189515.596968,-339620.335864,-109586.925793,0.850179,-0.431139,-0.210713
16 Dec 2017 05:56:42.000,-187983.397744,-340393.065023,-109965.145440,0.852262,-0.427448,-0.209530
16 Dec 2017 06:26:42.000,-186447.463989,-341159.142551,-110341.231533,0.854328,-0.423749,-0.208343
16 Dec 2017 06:56:42.000,-184907.827324,-341918.555263,-110715.177275,0.856376,-0.420042,-0.207152
16 Dec 2017 07:26:42.000,-183364.519419,-342671.290101,-111086.975911,0.858407,-0.416329,-0.205957
16 Dec 2017 07:56:42.000,-181817.571993,-343417.334128,-111456.620725,0.860420,-0.412608,-0.204759
16 Dec 2017 08:26:42.000,-180267.016811,-344156.674535,-111824.105045,0.862416,-0.408880,-0.203557
16 Dec 2017 08:56:42.000,-178712.885687,-344889.298633,-112189.422237,0.864394,-0.405145,-0.202351
16 Dec 2017 09:26:42.000,-177155.210480,-345615.193861,-112552.565711,0.866354,-0.401404,-0.201141
16 Dec 2017 09:56:42.000,-175594.023096,-346334.347779,-112913.528917,0.868296,-0.397655,-0.199928
16 Dec 2017 10:26:42.000,-174029.355488,-347046.748075,-113272.305345,0.870221,-0.393900,-0.198712
16 Dec 2017 10:56:42.000,-172461.239652,-347752.382558,-113628.888529,0.872127,-0.390138,-0.197491
16 Dec 2017 11:26:42.000,-170889.707632,-348451.239165,-113983.272041,0.874016,-0.386369,-0.196268
16 Dec 2017 11:56:42.000,-169314.791513,-349143.305955,-114335.449499,0.875887,-0.382593,-0.195040
16 Dec 2017 12:26:42.000,-167736.523426,-349828.571113,-114685.414558,0.877741,-0.378811,-0.193809
16 Dec 2017 12:56:42.000,-166154.935544,-350507.022949,-115033.160918,0.879576,-0.375023,-0.192575
16 Dec 2017 13:26:42.000,-164570.060086,-351178.649897,-115378.682318,0.881394,-0.371228,-0.191337
16 Dec 2017 13:56:42.000,-162981.929309,-351843.440517,-115721.972540,0.883193,-0.367427,-0.190096
16 Dec 2017 14:26:42.000,-161390.575516,-352501.383493,-116063.025408,0.884975,-0.363620,-0.188851
16 Dec 2017 14:56:42.000,-159796.031050,-353152.467636,-116401.834788,0.886738,-0.359806,-0.187603
16 Dec 2017 15:26:42.000,-158198.328295,-353796.681880,-116738.394586,0.888484,-0.355986,-0.186352
16 Dec 2017 15:56:42.000,-156597.499675,-354434.015286,-117072.698752,0.890212,-0.352161,-0.185097
16 Dec 2017 16:26:42.000,-154993.577655,-355064.457038,-117404.741277,0.891921,-0.348329,-0.183839
16 Dec 2017 16:56:42.000,-153386.594740,-355687.996447,-117734.516194,0.893613,-0.344492,-0.182577
16 Dec 2017 17:26:42.000,-151776.583474,-356304.622951,-118062.017578,0.895286,-0.340648,-0.181313
16 Dec 2017 17:56:42.000,-150163.576440,-356914.326110,-118387.239547,0.896941,-0.336799,-0.180045
